starId,movieId
s000007030,AdL5
s000000403,AdL5
s000007031,AdL5
s000000389,AdL6
s000005421,AdL6
s000007032,AdL6
s000006827,AdL6
s000007033,AdL6
s000007034,AdL6
s000007035,AdL6
s000007036,AdL6
s000007037,AdL6
s000007038,AdL6
s000001681,AdL10
s000001144,AdL10
s000000180,AdL10
s000003528,AdL10
s000004798,AdL10
s000007039,AdL14
s000007040,AdL14
s000007041,AdL14
s000007042,AdL14
s000007043,AdL16
s000004338,AdL16
s000005173,AdL16
s000007044,AdL16
s000007045,AdL16
s000003014,AdL20
s000006057,AdL20
s000002460,AdL20
s000003504,AdL20
s000007046,AdL20
s000007047,AdL20
s000007048,AdL20
s000002258,AdL25
s000003484,AdL25
s000007049,AdL25
s000007050,AdL25
s000006219,ADr10
s000007051,ADr10
s000003816,ADr10
s000007052,ADr10
s000007053,ADr10
s000007054,ADr10
s000007055,ADr10
s000004641,ADT9
s000006229,ADT9
s000001246,ADT9
s000003449,ADT12
s000007056,ADT12
s000002078,ADT12
s000005434,ADT12
s000001338,ADT12
s000007057,ADT12
s000000727,ADT12
s000005047,ADT18
s000003757,ADT18
s000003348,ADT18
s000007058,ADT18
s000003123,ADT18
s000007059,ADv10
s000004612,ADv12
s000003143,ADv14
s000007059,ADv15
s000003143,ADv15
s000003399,ADv17
s000004347,ADv17
s000001681,ADv22
s000004794,ADv22
s000007060,ADv22
s000007061,ADv22
s000001091,ADv22
s000007062,ADw5
s000007063,ADw6
s000007064,ADw6
s000007065,ADw6
s000007066,ADw17
s000000441,ADw17
s000006859,ADw17
s000006859,ADw17
s000002528,ADw17
s000007067,ADw17
s000001892,ADw22
s000000008,ADw22
s000002388,ADw22
s000003891,ADw22
s000006062,ADw27
s000004356,ADw27
s000004375,ADw27
s000006101,ADw27
s000003237,ADw27
s000007068,ADw27
s000007069,ADw27
s000007070,ADw27
s000006132,ADw35
s000002772,ADw35
s000006261,ADw35
s000006606,ADw35
s000007071,ADw35
s000004506,ADw35
s000007072,ADw35
s000000570,ADw35
s000007073,ADw35
s000007074,ADw35
