id,name,birthYear
s000000359,Pierre Barouh,
s000000360,Maria Barranco,
s000000361,JeanLouis Barrault,1910
s000000362,MarieChristine Barrault,1944
s000000363,Edith Barrett,1907
s000000364,Judith Barrett,1914
s000000365,Barbara Barrie,
s000000366,Mona Barrie,1909
s000000367,Wendy Barrie,1912
s000000368,Edgar Barrier,1906
s000000369,Maurice Barrier,
s000000370,George Barris,
s000000371,Gene Barry,1921
s000000372,Joan Barry,1903
s000000373,Diana Barrymore,1921
s000000374,Drew Barrymore,1976
s000000375,Ethel Barrymore,1879
s000000376,John Barrymore,1882
s000000377,John Barrymore~jr.,1932
s000000378,John Barrymore~III,
s000000379,Lionel Barrymore,1878
s000000380,Maurice Barrymore,
s000000381,Paul Bartels,1940
s000000382,Eddie Barth,
s000000383,Richard Barthelmess,1895
s000000384,Freddie Bartholomew,1924
s000000385,Eve Bartok,1926
s000000386,James Barton,1890
s000000387,Richard Basehart,1915
s000000388,Tony Basil,
s000000389,Kim Basinger,1953
s000000390,Count Basie,
s000000391,Richard Baskin,
s000000392,Alfie Bass,
s000000393,Lina Basquette,1907
s000000394,Albert Basserman,1867
s000000395,Angela Bassett,1958
s000000396,Steve Bassett,
s000000397,Alexandra Bastedo,1946
s000000398,Alan Bates,1934
s000000399,Barbara Bates,
s000000400,Florence Bates,1888
s000000401,Kathy Bates,1958
s000000402,Michael Bates,1920
s000000403,Belinda Bauer,
s000000404,Steven Bauer,
s000000405,Harry Baur,1880
s000000406,Barbara Baxley,
s000000407,Alan Baxter,1908
s000000408,Anne Baxter,1923
s000000409,Jane Baxter,1909
s000000410,Warner Baxter,1889
s000000411,Sarah Bay,
s000000412,Nathalie Baye,
s000000413,Gary Bayer,
s000000414,Geoffrey Bayldon,1924
s000000415,Stephanie Beacham,1949
s000000416,John Beal,1909
s000000417,Jennifer Beals,
s000000418,Emanuelle Beart,1965
s000000419,The Beatles,n.a.
s000000420,Ned Beatty,1937
s000000421,Robert Beatty,1909
s000000422,Warren Beatty,1937
s000000423,Louise Beavers,1902
s000000424,John C. Becher,
s000000425,Sidney Bechet,1892
s000000426,Jenny Beck,1974
s000000427,John Beck,1943
s000000428,Kimberly Beck,
s000000429,Michael Beck,1948
s000000430,Stanley Beck,
s000000431,Barry Beckerman,
s000000432,Scotty Beckett,1929
s000000433,Reginald Beckwith,1908
s000000434,Don Beddoe,1888
s000000435,Bonnie Bedelia,1946
s000000436,Kabir Bedi,1935
s000000437,Alfonso Bedoya,1904
s000000438,Molly Bee,
s000000439,Noah Beery,1884
s000000440,Noah Beery~jr.,1913
s000000441,Wallace Beery,1880
s000000442,Hagan Beggs,
s000000443,Ed Begley,1901
s000000444,Ed Begley~jr.,
s000000445,Harry Belafonte,1927
s000000446,Charles Belcher,
s000000447,Barbara BelGeddes,1927
s000000448,Ann Bell,
s000000449,James Bell,1891
s000000450,Marie Bell,1900
s000000451,Rex Bell,1905
s000000452,Tom Bell,1933
s000000453,Madge Bellamy,1903
s000000454,Ralph Bellamy,1904
s000000455,Harry Bellaver,1905
s000000456,Kathleen Beller,1955
s000000457,Agostina Belli,
s000000458,Olga Bellin,
s000000459,JeanPaul Belmondo,1933
s000000460,Belmonts,
s000000461,Lionel Belmore,1867
s000000462,Richard Beltran,
s000000463,Robert Beltran,
s000000464,Jim Belushi,
s000000465,John Belushi,1949
s000000466,Richard Belzer,
s000000467,Pat Benatar,
s000000468,Brian Benben,
s000000469,Robert Benchley,1889
s000000470,William Bendix,1906
s000000471,Billy Benedict,1906
s000000472,Dirk Benedict,1945
s000000473,Paul Benedict,
s000000474,Richard Benedict,1916
s000000475,Annette Bening,
s000000476,Richard Benjamin,1938
s000000477,Alma Bennett,1889
s000000478,Barbara Bennett,1902
s000000479,Belle Bennett,1891
s000000480,Bruce Bennett,1909
s000000481,Constance Bennett,1904
s000000482,Hywel Bennett,1944
s000000483,Jill Bennett,1944
s000000484,Joan Bennett,1910
s000000485,Joe Bennett,
s000000486,John Bennett,1928
s000000487,Marjorie Bennett,1894
s000000488,Richard Bennett,1873
s000000489,Annette Benning,1958
s000000490,Jack Benny,1894
s000000491,Martin Benson,1918
